
Intensity Sum Ch=1 Img=1
 ==================== 
Time [s],Intensity Sum::1000000044::0,Intensity Sum::1000000055::0,Intensity Sum::1000000089::0,Intensity Sum::1000000093::0,Intensity Sum::1000000094::0,Intensity Sum::1000000096::0,Intensity Sum::1000000097::0,Intensity Sum::1000000099::0,Intensity Sum::1000000100::0,Intensity Sum::1000000105::0,Intensity Sum::1000000106::0,Intensity Sum::1000000108::0,Intensity Sum::1000000109::0,Intensity Sum::1000000118::0,Intensity Sum::1000000121::0,Intensity Sum::1000000123::0,Intensity Sum::1000000124::0,Intensity Sum::1000000125::0,Intensity Sum::1000000127::0,Intensity Sum::1000000128::0,Intensity Sum::1000000135::0,Intensity Sum::1000000137::0,Intensity Sum::1000000140::0,Intensity Sum::1000000143::0,Intensity Sum::1000000144::0,Intensity Sum::1000000145::0,Intensity Sum::1000000148::0,Intensity Sum::1000000150::0,Intensity Sum::1000000152::0,Intensity Sum::1000000153::0,Intensity Sum::1000000155::0,Intensity Sum::1000000163::0,Intensity Sum::1000000164::0,Intensity Sum::1000000166::0,Intensity Sum::1000000167::0,Intensity Sum::1000000173::0,Intensity Sum::1000000174::0,Intensity Sum::1000000175::0,Intensity Sum::1000000176::0,Intensity Sum::1000000177::0,Intensity Sum::1000000178::0,Intensity Sum::1000000182::0,Intensity Sum::1000000186::0,Intensity Sum::1000000190::0,Intensity Sum::1000000192::0,Intensity Sum::1000000194::0,Intensity Sum::1000000196::0,Intensity Sum::1000000198::0,Intensity Sum::1000000199::0,Intensity Sum::1000000202::0,Intensity Sum::1000000203::0,Intensity Sum::1000000206::0,Intensity Sum::1000000212::0,Intensity Sum::1000000217::0,Intensity Sum::1000000218::0,Intensity Sum::1000000219::0,Intensity Sum::1000000220::0,Intensity Sum::1000000224::0,Intensity Sum::1000000227::0,Intensity Sum::1000000231::0,Intensity Sum::1000000232::0,Intensity Sum::1000000235::0,Intensity Sum::1000000240::0,Intensity Sum::1000000250::0,Intensity Sum::1000000259::0,Intensity Sum::1000000267::0,Intensity Sum::1000000283::0,Intensity Sum::1000000498::0,Intensity Sum::1000000560::0,Intensity Sum::1000001049::0,Intensity Sum::1000159177::0,Intensity Sum::1000159244::0,Intensity Sum::1000159605::0,Intensity Sum::1000159705::0,Intensity Sum::1000160175::0,Intensity Sum::1000160809::0,Intensity Sum::1000161110::0,Intensity Sum::1000161579::0,Intensity Sum::1000161582::0,Intensity Sum::1000162288::0,Intensity Sum::1000162458::0,Intensity Sum::1000163287::0,Intensity Sum::1000164876::0,Intensity Sum::1000165080::0,Intensity Sum::1000165144::0,Intensity Sum::1000165704::0,Intensity Sum::1000166112::0,Intensity Sum::1000166767::0,Intensity Sum::1000166853::0,Intensity Sum::1000166876::0,Intensity Sum::1000167341::0,Intensity Sum::1000167371::0,Intensity Sum::1000167669::0,Intensity Sum::1000168050::0,Intensity Sum::1000169731::0,Intensity Sum::1000169820::0,Intensity Sum::1000170422::0,Intensity Sum::1000171132::0,Intensity Sum::1000171701::0,Intensity Sum::1000171724::0,Intensity Sum::1000171751::0,Intensity Sum::1000172408::0,Intensity Sum::1000173158::0,Intensity Sum::1000173583::0,Intensity Sum::1000176344::0,Intensity Sum::1000176487::0,Intensity Sum::1000177114::0,Intensity Sum::1000177409::0,Intensity Sum::1000178187::0,Intensity Sum::1000179876::0,Intensity Sum::1000180206::0,Intensity Sum::1000180392::0,Intensity Sum::1000180403::0,Intensity Sum::1000181625::0,Intensity Sum::1000181693::0,Intensity Sum::1000181973::0,Intensity Sum::1000182079::0,Intensity Sum::1000182170::0,Intensity Sum::1000182636::0,Intensity Sum::1000182982::0,Intensity Sum::1000186102::0,Intensity Sum::1000187154::0,Intensity Sum::1000187633::0,Intensity Sum::1000188084::0,Intensity Sum::1000189130::0,Intensity Sum::1000189516::0,Intensity Sum::1000189548::0,Intensity Sum::1000189622::0,Intensity Sum::1000191126::0,Intensity Sum::1000191330::0,Intensity Sum::1000191653::0,Intensity Sum::1000192518::0,Intensity Sum::1000193105::0,Intensity Sum::1000193637::0,Intensity Sum::1000195548::0,Intensity Sum::1000195666::0,Intensity Sum::1000197641::0,Intensity Sum::1000198065::0,Intensity Sum::1000199240::0,Intensity Sum::1000200832::0,Intensity Sum::1000201571::0,Intensity Sum::1000202768::0,Intensity Sum::1000203022::0,Intensity Sum::1000203028::0,Intensity Sum::1000203045::0,Intensity Sum::1000203149::0,Intensity Sum::1000203719::0,Intensity Sum::1000203934::0,Intensity Sum::1000204368::0,Intensity Sum::1000205582::0,Intensity Sum::1000206506::0,Intensity Sum::1000206831::0,Intensity Sum::1000206967::0,Intensity Sum::1000207075::0,Intensity Sum::1000207637::0,Intensity Sum::1000207796::0,Intensity Sum::1000209150::0,Intensity Sum::1000209214::0,Intensity Sum::1000209440::0,
47.778999,212134,177095,141901,146545,148307,148286,178623,152653,194000,125827,237666,241316,171771,195214,180410,185284,242822,249131,225061,312304,180381,173184,232306,183023,165804,164761,272132,215857,350632,175058,166272,202485,208581,202800,276174,,203451,356670,219095,197797,212927,178598,201450,187222,358534,236822,195785,188887,174675,172494,253426,189408,222804,153735,195768,215767,165078,183481,170091,244573,250063,250111,183475,331493,207227,234183,141290,134768,198141,202633,,134271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.556999,207167,186264,138444,144383,156434,154386,175191,152334,186261,123883,229428,228309,175530,194734,187205,192122,234474,247193,231568,299572,199832,176201,223966,177070,180641,165957,275720,210909,335124,174264,174149,205720,214710,202047,283462,226033,200139,340202,221210,208857,213254,178763,198128,,359806,234011,199063,192194,176182,159568,256316,188884,224763,163543,205062,216314,164268,181299,177248,246033,240903,238440,178989,331612,209271,235043,136676,125309,194899,196650,,130735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.334999,205171,187288,141578,142495,152913,156636,169212,150897,190133,121111,235991,237066,183901,194912,195569,201700,235703,231779,235635,320277,196463,175042,224478,177506,165130,165855,260239,219624,345323,172578,180255,215253,219392,196191,282703,223639,205477,352196,230075,200646,213025,177937,199168,191986,369832,243214,204997,189420,172759,162789,247743,186533,235157,152412,200216,222270,,178564,177740,253110,224669,236480,179116,333581,216651,231599,138748,131802,197992,202717,156047,129281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.112999,196115,178243,141713,148841,150367,153100,161589,152856,196080,128751,222863,237048,174941,186794,182959,190704,246435,247894,218719,297303,193555,165585,239447,177756,179274,167529,286328,209509,343683,168173,177287,210294,215193,195411,282365,215270,192106,356821,222313,204193,217727,180160,199571,,363424,248369,199629,188753,180197,173677,251839,184458,227317,164233,208297,217933,168268,183096,,239108,223730,236031,181157,327530,219758,227140,143107,132649,206059,193207,162254,133502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.890999,219329,181318,137779,147368,159976,157941,178880,153071,181586,115692,222568,214202,165618,196981,194983,188921,234641,225585,240333,328362,208146,170601,221526,174840,167270,177433,265514,217594,342308,162801,173434,207494,216796,203623,285121,219875,202888,345831,222428,202046,225351,175255,192133,189110,358898,232702,202300,190715,171275,,250525,196372,237386,159062,204006,212856,168365,179330,173018,247408,220717,232994,176172,326722,209795,230206,135380,,200592,195911,156537,130702,164128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.668999,208688,176831,142307,149414,157134,153567,171568,160732,198701,128783,227899,237115,166471,183228,184171,185062,242209,249154,224287,291130,185363,170524,229653,180963,176734,155480,287008,206224,332015,171460,179903,208439,217851,202862,266245,221127,203621,368694,227994,203850,218279,182826,205590,189690,365201,252157,202092,198430,209715,164017,249086,190317,233395,168199,207609,215720,172051,185242,179989,242875,220890,235206,176412,325176,208027,232516,144502,128800,201657,191164,158111,133355,,161697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.446999,206158,173147,142578,145663,153433,154372,178386,159048,189422,124052,233801,222248,167377,196334,186228,190996,238097,248830,232718,308564,208421,171987,219232,178378,173392,153643,280715,209901,337736,168716,176513,201726,222119,199707,265046,219867,189458,383986,228987,196731,213492,180648,196441,180941,363292,242032,208338,186774,209432,172535,249786,189802,234268,163705,202755,210218,178008,181453,183269,252125,231530,228009,167449,332362,203403,219274,142761,132471,202490,190792,152558,138228,,164935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.223999,213064,173337,137896,148917,151906,159171,193336,153965,176438,126068,229576,215398,168353,196357,180446,183526,225697,231103,237393,321530,214999,167594,218090,181719,175147,160947,269982,213123,347645,168986,169585,199483,212252,203282,262637,221846,199272,373253,223171,189645,212859,186023,204750,185610,350824,246875,207848,205433,197665,163790,248392,187484,231152,168735,204890,217274,,182332,,243876,213146,224525,171569,320636,204314,232441,138938,126993,195806,184514,151498,119283,148282,161891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.001999,208655,176750,141577,148914,154786,160949,178235,151689,195340,122526,230830,227116,168920,190103,178249,186754,239545,233315,229974,313018,198258,173544,219865,180583,173576,162468,267960,210904,334948,171076,175762,194573,220134,200377,255718,216021,204348,381823,231112,200484,215909,185886,203686,185298,357315,242584,200524,194707,197196,172327,241444,184665,271775,163726,193151,212249,185120,179885,,241713,220830,214685,169396,311776,208486,226125,135315,134572,197618,189113,156603,132570,165560,170799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.779999,208710,174782,143435,153254,149408,159493,185600,158004,174486,123478,227890,222766,164283,198629,177274,184005,221313,231268,230135,316620,210364,179494,220997,178291,180651,162746,260914,214254,336727,166829,176031,204116,216323,204768,256688,217678,193323,377924,218123,203348,213714,187957,200096,196038,356036,250389,192626,202184,193518,162048,244291,189681,272726,160624,199871,212307,,178579,179567,235930,212050,217403,161021,332965,200304,232587,134792,133338,200546,181666,155057,131678,167990,166919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.557999,205466,175619,138561,142733,153104,163082,180957,153364,170930,119061,225373,218765,160987,193786,184202,181911,220434,224101,229247,330061,207026,165052,212039,174574,171568,166107,260299,209815,343276,170110,179267,205222,215735,197582,262922,220103,196250,365748,219986,201638,212508,183662,203295,191478,338026,242648,202373,206534,185761,170094,239472,202078,274161,163826,198887,206693,186370,175746,177599,250460,210902,215858,158347,332430,205701,237846,134942,135113,192130,175382,145856,131904,163417,169774,154260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
